participant,reaction_time,no_target,stimulus,excess_delay
1,20.006099,True,2,0.006098999999998966
1,20.0059754,True,9,0.005975400000000519
1,20.0110092,True,13,0.011009200000000163
1,20.0004705,True,16,0.00047049999999870806
2,20.0018126,True,2,0.0018126000000009412
2,20.001018,True,9,0.001017999999998409
2,20.0130351,True,13,0.013035099999999744
2,20.008639,True,16,0.008638999999998731
3,20.0025547,True,2,0.00255470000000102
3,20.0033358,True,9,0.0033357999999985566
3,20.0136311,True,13,0.01363110000000134
3,20.0077337,True,16,0.007733699999999288
4,20.0118608,True,2,0.011860800000000893
4,20.0031625,True,9,0.0031624999999984027
4,20.0138985,True,13,0.013898499999999814
4,20.0132949,True,16,0.013294900000001775
5,20.007209,True,2,0.007208999999999577
5,20.0069549,True,9,0.006954900000000208
5,20.009266,True,13,0.009266000000000219
5,20.0123787,True,16,0.012378699999999299
6,20.0002186,True,2,0.00021860000000017976
6,20.010214,True,9,0.010214000000001278
6,20.0070854,True,13,0.00708540000000113
6,20.013253,True,16,0.013252999999998849
7,20.0024722,True,2,0.0024721999999997024
7,20.0000679,True,9,6.790000000123086e-05
7,20.0071654,True,13,0.007165400000001654
7,20.0036985,True,16,0.0036984999999987167
8,20.0090664,True,2,0.009066399999998254
8,20.0124094,True,9,0.012409399999999238
8,20.0045433,True,13,0.004543300000001693
8,20.0149963,True,16,0.014996299999999962
9,20.0071389,True,2,0.007138900000001058
9,20.0087013,True,9,0.008701299999998469
9,20.0000058,True,13,5.800000000277805e-06
9,20.0001074,True,16,0.00010740000000097893
10,20.0017524,True,2,0.0017524000000008755
10,20.0055357,True,9,0.005535699999999366
10,20.0078591,True,13,0.007859100000001007
10,20.0016284,True,16,0.0016284000000013066
11,20.0050804,True,2,0.005080400000000651
11,20.0137532,True,9,0.013753200000000021
11,20.0078418,True,13,0.007841800000001342
11,20.0097379,True,16,0.009737900000001076
12,20.004393,True,2,0.004393000000000313
12,20.0048782,True,9,0.004878200000000277
12,20.0063317,True,13,0.006331700000000495
12,20.0146421,True,16,0.014642099999999658
13,20.0091431,True,2,0.009143099999999293
13,20.0131072,True,9,0.013107200000000319
13,20.0096741,True,13,0.009674100000001573
13,20.0133838,True,16,0.013383799999999724
14,20.0073153,True,2,0.007315299999998359
14,20.0110978,True,9,0.011097800000001712
14,20.0046285,True,13,0.004628499999999036
14,20.0148201,True,16,0.014820100000001446
15,20.007245,True,2,0.007245000000001056
15,20.0069576,True,9,0.006957599999999786
15,20.0084864,True,13,0.008486399999998895
15,20.0044261,True,16,0.004426099999999877
16,20.015901,True,2,0.0159009999999995
16,20.0105268,True,9,0.010526800000000947
16,20.0064271,True,13,0.006427099999999797
16,20.007937,True,16,0.007936999999998307
17,20.0022794,True,2,0.0022793999999990433
17,20.0130824,True,9,0.013082399999998273
17,20.0103555,True,13,0.010355499999999296
17,20.0069188,True,16,0.006918800000001113
18,20.0133623,True,2,0.013362300000000715
18,20.013552,True,9,0.013552000000000675
18,20.007346,True,13,0.007345999999998298
18,20.0030628,True,16,0.003062799999998589
19,20.0013919,True,2,0.0013919000000015558
19,19.9997999,True,9,-0.0002001000000007025
19,20.0069792,True,13,0.006979199999999963
19,20.0000459,True,16,4.5899999999932106e-05
20,20.0103562,True,2,0.01035620000000037
20,20.0077629,True,9,0.007762899999999462
20,20.0015546,True,13,0.0015545999999986293
20,20.002996,True,16,0.0029959999999995546
23,20.0174387,True,2,0.017438699999999585
23,20.0123859,True,9,0.012385900000001726
23,20.0231045,True,13,0.02310449999999875
23,20.0019119,True,16,0.0019118999999996333
